,Date,Prob,Label,Symbol
373,2024-05-23,0.47921026,1,WMB
374,2024-04-11,0.5884191,1,AIG
375,2024-04-29,0.46783245,-1,DRI
376,2024-05-21,0.8069728,-1,AIG
377,2024-04-29,0.6015325,1,CMI
378,2024-03-28,0.434324,1,PAYC
379,2024-05-15,0.63599116,-1,SMCI
380,2024-05-21,0.45464224,-1,HAL
381,2024-04-01,0.47318292,-1,PG
382,2024-05-06,0.5663643,-1,TAP
383,2024-04-15,0.41797122,1,DHI
384,2024-05-23,0.6970363,-1,CE
385,2024-05-22,0.6140744,-1,JNJ
386,2024-03-28,0.37537497,-1,MCHP
387,2024-04-18,0.3971793,1,MDT
388,2024-05-10,0.49482408,1,IQV
389,2024-05-07,0.45872748,1,TSCO
390,2024-05-20,0.5397715,-1,BR
391,2024-04-10,0.46783707,-1,VRSK
392,2024-05-07,0.41302386,1,LRCX
393,2024-04-02,0.48461565,-1,J
394,2024-04-23,0.40423352,-1,FFIV
395,2024-04-05,0.46797293,-1,ANET
396,2024-05-15,0.3949583,-1,DXCM
397,2024-05-06,0.26971817,-1,INVH
398,2024-05-08,0.40460467,-1,CHD
399,2024-04-11,0.53667206,-1,NWSA
400,2024-05-15,0.5367909,-1,AKAM
401,2024-05-10,0.48638177,1,DVN
402,2024-05-17,0.4843718,-1,IR
403,2024-05-20,0.4911405,-1,APH
404,2024-05-01,0.44296232,1,KMB
405,2024-04-09,0.45293647,-1,AME
406,2024-04-30,0.17616831,1,MS
407,2024-05-23,0.5258887,1,PRU
408,2024-05-14,0.5675952,-1,RJF
409,2024-04-16,0.39859638,1,WAT
410,2024-04-25,0.4754791,-1,PWR
411,2024-04-15,0.44124952,1,AVY
412,2024-04-08,0.47249943,-1,AVY
413,2024-05-16,0.5298515,-1,PAYX
414,2024-04-09,0.5661882,-1,PANW
415,2024-05-02,0.4016676,1,STE
416,2024-05-03,0.35671017,1,AMP
417,2024-04-04,0.58697623,-1,SLB
418,2024-05-10,0.40015295,1,TMUS
419,2024-04-16,0.44801325,1,ADI
420,2024-04-25,0.48499063,-1,GOOGL
421,2024-04-25,0.07470198,-1,BAX
422,2024-04-08,0.44608086,-1,RVTY
423,2024-05-01,0.55154353,1,HD
424,2024-03-28,0.42071137,1,HAL
425,2024-04-15,0.5473447,1,COF
426,2024-05-15,0.4646062,-1,JNJ
427,2024-04-11,0.58654445,-1,ISRG
428,2024-05-13,0.45831364,1,AXP
429,2024-03-28,0.4560803,-1,MO
430,2024-04-15,0.42215204,1,CAG
431,2024-05-23,0.454263,1,D
432,2024-05-02,0.533775,1,BLK
433,2024-05-07,0.4374884,1,T
434,2024-04-01,0.8363494,-1,IDXX
435,2024-04-29,0.69413996,-1,HST
436,2024-04-16,0.5928122,1,LHX
437,2024-05-16,0.35875365,-1,CZR
438,2024-04-30,0.45320094,1,BSX
439,2024-04-19,0.36465687,1,CF
440,2024-05-09,0.40585393,-1,FANG
441,2024-04-22,0.08899548,1,GL
442,2024-05-02,0.5790681,1,VRSN
443,2024-04-03,0.7314305,-1,CTSH
444,2024-04-02,0.47659397,1,MAR
445,2024-04-25,0.15161537,-1,ICE
446,2024-05-07,0.60264677,-1,CLX
447,2024-05-06,0.46407783,1,COO
448,2024-05-03,0.5319663,-1,DHI
449,2024-04-16,0.39924654,1,LH
450,2024-05-14,0.72622657,-1,CFG
451,2024-05-07,0.3880904,-1,BAX
452,2024-05-08,0.5010778,1,WM
453,2024-04-09,0.41575906,1,PARA
454,2024-05-09,0.2519971,-1,AWK
455,2024-04-17,0.37393662,1,HRL
456,2024-04-11,0.6381028,1,CF
457,2024-04-29,0.55084187,1,AON
458,2024-04-30,0.48160082,1,CTRA
459,2024-05-09,0.41995713,-1,KHC
460,2024-05-09,0.4054727,1,AMD
461,2024-04-19,0.54547817,1,STX
462,2024-05-09,0.23706593,1,DXCM
463,2024-05-07,0.34002227,1,F
464,2024-04-10,0.39251,-1,AEP
465,2024-05-16,0.48113534,-1,CTRA
466,2024-05-16,0.34495643,1,CCL
467,2024-05-03,0.53158337,1,BEN
468,2024-04-03,0.97093046,-1,FOXA
469,2024-05-21,0.45019877,-1,KMB
470,2024-04-11,0.17824657,-1,HBAN
471,2024-04-02,0.5801242,-1,PRU
472,2024-05-15,0.54213166,1,FOX
473,2024-04-11,0.3413774,-1,UBER
474,2024-04-08,0.4298506,-1,MSFT
475,2024-05-22,0.5816758,1,BIIB
476,2024-04-02,0.45877886,-1,CAT
477,2024-05-23,0.5006965,1,IP
478,2024-04-30,0.59829533,1,NXPI
479,2024-05-06,0.14883192,1,COF
480,2024-05-08,0.5048376,-1,URI
481,2024-05-21,0.49268785,-1,OTIS
482,2024-04-26,0.44489878,-1,FDX
483,2024-04-08,0.5076565,-1,INCY
484,2024-04-01,0.5240789,1,KDP
485,2024-04-08,0.47342178,-1,BX
486,2024-04-17,0.37434608,1,EW
487,2024-04-05,0.5272613,-1,ETN
488,2024-05-10,0.5678531,-1,BMY
489,2024-04-24,0.3346117,-1,CINF
490,2024-05-13,0.16621357,1,GD
491,2024-05-21,0.6034122,-1,ZTS
492,2024-04-23,0.53680885,-1,LUV
493,2024-04-22,0.49897432,1,AMD
494,2024-05-01,0.45108274,1,CCL
495,2024-05-09,0.50519764,1,IR
496,2024-05-10,0.32905182,1,PYPL
497,2024-05-22,0.53602594,-1,LRCX
498,2024-04-03,0.5423803,1,NFLX
499,2024-05-14,0.24660228,-1,DLR
500,2024-05-21,0.47828117,-1,TFC
501,2024-04-17,0.7045656,1,ANSS
502,2024-04-17,0.37867495,1,O
503,2024-05-23,0.34018895,1,WEC
504,2024-04-24,0.17270274,-1,FOX
505,2024-04-10,0.5593369,-1,SWK
506,2024-05-08,0.64704484,1,ABT
507,2024-05-08,0.57839775,1,ROK
508,2024-04-12,0.34745356,1,ICE
509,2024-05-23,0.549559,-1,APH
510,2024-05-02,0.59299713,1,EW
