raw_symbol,instrument_id,date
SPY,10136,2022-02-23
SPY,10150,2022-02-24
SPY,10151,2022-02-25
SPY,10151,2022-02-26
SPY,10151,2022-02-27
SPY,10154,2022-02-28
SPY,10156,2022-03-01
SPY,10151,2022-03-02
SPY,10153,2022-03-03
SPY,10160,2022-03-04
SPY,10160,2022-03-05
SPY,10160,2022-03-06
SPY,10164,2022-03-07
SPY,10166,2022-03-08
SPY,10164,2022-03-09
SPY,10167,2022-03-10
SPY,10167,2022-03-11
SPY,10167,2022-03-12
SPY,10167,2022-03-13
SPY,10177,2022-03-14
SPY,10175,2022-03-15
SPY,10179,2022-03-16
SPY,10188,2022-03-17
SPY,10188,2022-03-18
SPY,10188,2022-03-19
SPY,10188,2022-03-20
SPY,10193,2022-03-21
SPY,10193,2022-03-22
SPY,10197,2022-03-23
SPY,10206,2022-03-24
SPY,10209,2022-03-25
SPY,10209,2022-03-26
SPY,10209,2022-03-27
SPY,10214,2022-03-28
SPY,10212,2022-03-29
SPY,10214,2022-03-30
SPY,10221,2022-03-31
SPY,10220,2022-04-01
SPY,10220,2022-04-02
SPY,10220,2022-04-03
SPY,10227,2022-04-04
SPY,10225,2022-04-05
SPY,10229,2022-04-06
SPY,10231,2022-04-07
SPY,10226,2022-04-08
SPY,10226,2022-04-09
SPY,10226,2022-04-10
SPY,10223,2022-04-11
SPY,10226,2022-04-12
SPY,10221,2022-04-13
SPY,10227,2022-04-14
SPY,10227,2022-04-15
SPY,10227,2022-04-16
SPY,10227,2022-04-17
SPY,10232,2022-04-18
SPY,10233,2022-04-19
SPY,10233,2022-04-20
SPY,10239,2022-04-21
SPY,10246,2022-04-22
SPY,10246,2022-04-23
SPY,10246,2022-04-24
SPY,10246,2022-04-25
SPY,10242,2022-04-26
SPY,10252,2022-04-27
SPY,10252,2022-04-28
SPY,10253,2022-04-29
SPY,10253,2022-04-30
SPY,10253,2022-05-01
SPY,10254,2022-05-02
SPY,10249,2022-05-03
SPY,10252,2022-05-04
SPY,10256,2022-05-05
SPY,10260,2022-05-06
SPY,10260,2022-05-07
SPY,10260,2022-05-08
SPY,10263,2022-05-09
SPY,10267,2022-05-10
SPY,10267,2022-05-11
SPY,10270,2022-05-12
SPY,10270,2022-05-13
SPY,10270,2022-05-14
SPY,10270,2022-05-15
SPY,10268,2022-05-16
SPY,10270,2022-05-17
SPY,10274,2022-05-18
SPY,10275,2022-05-19
SPY,10272,2022-05-20
SPY,10272,2022-05-21
SPY,10272,2022-05-22
SPY,10274,2022-05-23
SPY,10276,2022-05-24
SPY,10276,2022-05-25
SPY,10270,2022-05-26
SPY,10269,2022-05-27
SPY,10269,2022-05-28
SPY,10269,2022-05-29
SPY,10269,2022-05-30
SPY,10273,2022-05-31
SPY,10272,2022-06-01
SPY,10275,2022-06-02
SPY,10277,2022-06-03
SPY,10277,2022-06-04
SPY,10277,2022-06-05
SPY,10274,2022-06-06
SPY,10278,2022-06-07
SPY,10276,2022-06-08
SPY,10278,2022-06-09
SPY,10277,2022-06-10
SPY,10277,2022-06-11
SPY,10277,2022-06-12
SPY,10274,2022-06-13
SPY,10274,2022-06-14
SPY,10279,2022-06-15
SPY,10286,2022-06-16
SPY,10288,2022-06-17
SPY,10288,2022-06-18
SPY,10288,2022-06-19
SPY,10288,2022-06-20
SPY,10290,2022-06-21
SPY,10293,2022-06-22
SPY,10299,2022-06-23
SPY,10301,2022-06-24
SPY,10301,2022-06-25
SPY,10301,2022-06-26
SPY,10302,2022-06-27
SPY,10305,2022-06-28
SPY,10306,2022-06-29
SPY,10307,2022-06-30
SPY,10306,2022-07-01
SPY,10306,2022-07-02
SPY,10306,2022-07-03
SPY,10306,2022-07-04
SPY,10307,2022-07-05
SPY,10313,2022-07-06
SPY,10306,2022-07-07
SPY,10306,2022-07-08
SPY,10306,2022-07-09
SPY,10306,2022-07-10
SPY,10303,2022-07-11
SPY,10303,2022-07-12
SPY,10303,2022-07-13
SPY,10302,2022-07-14
SPY,10303,2022-07-15
SPY,10303,2022-07-16
SPY,10303,2022-07-17
SPY,10300,2022-07-18
SPY,10299,2022-07-19
SPY,10296,2022-07-20
SPY,10294,2022-07-21
SPY,10293,2022-07-22
SPY,10293,2022-07-23
SPY,10293,2022-07-24
SPY,10291,2022-07-25
SPY,10291,2022-07-26
SPY,10287,2022-07-27
SPY,10291,2022-07-28
SPY,10288,2022-07-29
SPY,10288,2022-07-30
SPY,10288,2022-07-31
SPY,10285,2022-08-01
SPY,10286,2022-08-02
SPY,10284,2022-08-03
SPY,10279,2022-08-04
SPY,10278,2022-08-05
SPY,10278,2022-08-06
SPY,10278,2022-08-07
SPY,10284,2022-08-08
SPY,10296,2022-08-09
