ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
1542114000000000000,34,2,7319,274050000000,274130000000,273290000000,273520000000,127965,SPY
1542117600000000000,34,2,7319,273560000000,274130000000,272940000000,273300000000,2044992,SPY
1542121200000000000,34,2,7319,273280000000,273820000000,271730000000,273410000000,4927539,SPY
1542124800000000000,34,2,7319,273380000000,275325000000,273280000000,274240000000,3242737,SPY
1542128400000000000,34,2,7319,274240000000,274640000000,272960000000,273120000000,2241506,SPY
1542132000000000000,34,2,7319,273120000000,273860000000,272545000000,273090000000,2502033,SPY
1542135600000000000,34,2,7319,273080000000,273230000000,271395000000,272060000000,2983498,SPY
1542139200000000000,34,2,7319,272070000000,272880000000,271250000000,272060000000,5703141,SPY
1542142800000000000,34,2,7319,272040000000,272790000000,271610000000,272630000000,502679,SPY
1542146400000000000,34,2,7319,272630000000,272650000000,272590000000,272590000000,3393,SPY
1542150000000000000,34,2,7319,272700000000,274100000000,272610000000,273300000000,22065,SPY
1542186000000000000,34,2,7318,271000000000,271700000000,270900000000,271680000000,24321,SPY
1542189600000000000,34,2,7318,271680000000,272620000000,271480000000,272530000000,24473,SPY
1542193200000000000,34,2,7318,272520000000,272570000000,271810000000,271940000000,31641,SPY
1542196800000000000,34,2,7318,271940000000,272870000000,271940000000,272510000000,55600,SPY
1542200400000000000,34,2,7318,272480000000,274100000000,272450000000,273820000000,314186,SPY
1542204000000000000,34,2,7318,274100000000,274610000000,273600000000,274040000000,1968876,SPY
1542207600000000000,34,2,7318,274050000000,274080000000,272050000000,272330000000,3259986,SPY
1542211200000000000,34,2,7318,272320000000,272340000000,270350000000,271370000000,4068398,SPY
1542214800000000000,34,2,7318,271380000000,271680000000,270050000000,270240000000,3088306,SPY
1542218400000000000,34,2,7318,270230000000,270750000000,269000000000,269510000000,2680823,SPY
1542222000000000000,34,2,7318,269500000000,271490000000,268460000000,271360000000,4329213,SPY
1542225600000000000,34,2,7318,271360000000,272130000000,269530000000,270150000000,6080226,SPY
1542229200000000000,34,2,7318,270140000000,270310000000,269390000000,269970000000,994439,SPY
1542232800000000000,34,2,7318,270050000000,270200000000,269900000000,270020000000,155662,SPY
1542236400000000000,34,2,7318,269940000000,270620000000,269380000000,269550000000,105380,SPY
1542272400000000000,34,2,7327,270220000000,270550000000,269700000000,269840000000,16562,SPY
1542276000000000000,34,2,7327,269770000000,270560000000,269320000000,270500000000,71484,SPY
1542279600000000000,34,2,7327,270520000000,270890000000,270300000000,270600000000,63172,SPY
1542283200000000000,34,2,7327,270570000000,270800000000,270060000000,270060000000,100161,SPY
1542286800000000000,34,2,7327,270100000000,270190000000,269140000000,269580000000,206769,SPY
1542290400000000000,34,2,7327,269450000000,269680000000,267660000000,268600000000,3088493,SPY
1542294000000000000,34,2,7327,268610000000,269240000000,267020000000,268570000000,4494176,SPY
1542297600000000000,34,2,7327,268530000000,270760000000,268310000000,270420000000,3644420,SPY
1542301200000000000,34,2,7327,270420000000,270940000000,269470000000,269730000000,1700122,SPY
1542304800000000000,34,2,7327,269680000000,272710000000,269070000000,272450000000,4093223,SPY
1542308400000000000,34,2,7327,272470000000,273540000000,271950000000,272660000000,2487420,SPY
1542312000000000000,34,2,7327,272660000000,273090000000,271030000000,273050000000,6000250,SPY
1542315600000000000,34,2,7327,273030000000,273480000000,272660000000,273220000000,725656,SPY
1542319200000000000,34,2,7327,273130000000,273200000000,272930000000,272940000000,31776,SPY
